"";"ID_empresa";"categoria";"cla";"familia";"item";"desonerado";"CODIGO";"Descr_codigo";"UNID";"PRECO"
"1";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0001 - LIMITE DE PLASTICIDADE";"FALSE";"01.001.0001-0";"LIMITE DE PLASTICIDADE";"UN";"147.68"
"2";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0001 - LIMITE DE PLASTICIDADE";"TRUE";"01.001.0001-A";"LIMITE DE PLASTICIDADE";"UN";"134.57"
"3";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0002 - LIMITE DE LIQUIDEZ";"FALSE";"01.001.0002-0";"LIMITE DE LIQUIDEZ";"UN";"147.68"
"4";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0002 - LIMITE DE LIQUIDEZ";"TRUE";"01.001.0002-A";"LIMITE DE LIQUIDEZ";"UN";"134.57"
"5";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0003 - LIMITE DE CONTRACAO";"FALSE";"01.001.0003-0";"LIMITE DE CONTRACAO";"UN";"86.21"
"6";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0003 - LIMITE DE CONTRACAO";"TRUE";"01.001.0003-A";"LIMITE DE CONTRACAO";"UN";"78.56"
"7";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0004 - ANALISE GRANULOMETRICA SEM SEDIMENTACAO (PENEIRAMENTO)";"FALSE";"01.001.0004-0";"ANALISE GRANULOMETRICA SEM SEDIMENTACAO (PENEIRAMENTO)";"UN";"166.54"
"8";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0004 - ANALISE GRANULOMETRICA SEM SEDIMENTACAO (PENEIRAMENTO)";"TRUE";"01.001.0004-A";"ANALISE GRANULOMETRICA SEM SEDIMENTACAO (PENEIRAMENTO)";"UN";"151.76"
"9";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0005 - ANALISE GRANULOMETRICA COM SEDIMENTACAO";"FALSE";"01.001.0005-0";"ANALISE GRANULOMETRICA COM SEDIMENTACAO";"UN";"386.6"
"10";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0005 - ANALISE GRANULOMETRICA COM SEDIMENTACAO";"TRUE";"01.001.0005-A";"ANALISE GRANULOMETRICA COM SEDIMENTACAO";"UN";"352.27"
"11";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0006 - MASSA ESPECIFICA REAL";"FALSE";"01.001.0006-0";"MASSA ESPECIFICA REAL";"UN";"203.94"
"12";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0006 - MASSA ESPECIFICA REAL";"TRUE";"01.001.0006-A";"MASSA ESPECIFICA REAL";"UN";"185.83"
"13";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0007 - MASSA ESPECIFICA APARENTE ""IN SITU""";"FALSE";"01.001.0007-0";"MASSA ESPECIFICA APARENTE ""IN SITU""";"UN";"82.1"
"14";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0007 - MASSA ESPECIFICA APARENTE ""IN SITU""";"TRUE";"01.001.0007-A";"MASSA ESPECIFICA APARENTE ""IN SITU""";"UN";"74.81"
"15";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0008 - UMIDADE NATURAL EM ESTUFA";"FALSE";"01.001.0008-0";"UMIDADE NATURAL EM ESTUFA";"UN";"76.81"
"16";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0008 - UMIDADE NATURAL EM ESTUFA";"TRUE";"01.001.0008-A";"UMIDADE NATURAL EM ESTUFA";"UN";"69.99"
"17";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0009 - EQUIVALENTE DE AREIA";"FALSE";"01.001.0009-0";"EQUIVALENTE DE AREIA";"UN";"182.75"
"18";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0009 - EQUIVALENTE DE AREIA";"TRUE";"01.001.0009-A";"EQUIVALENTE DE AREIA";"UN";"166.52"
"19";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0010 - UMIDADE PELO METODO EXPEDITO ""SPEEDY""";"FALSE";"01.001.0010-0";"UMIDADE PELO METODO EXPEDITO ""SPEEDY""";"UN";"51.64"
"20";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0010 - UMIDADE PELO METODO EXPEDITO ""SPEEDY""";"TRUE";"01.001.0010-A";"UMIDADE PELO METODO EXPEDITO ""SPEEDY""";"UN";"47.05"
"21";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0011 - COMPACTACAO: ENERGIA PROCTOR NORMAL";"FALSE";"01.001.0011-0";"COMPACTACAO: ENERGIA PROCTOR NORMAL";"UN";"322.25"
"22";2;"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO";NA;"001 - Ensaios e Pesquisas em Solo";"0011 - COMPACTACAO: ENERGIA PROCTOR NORMAL";"TRUE";"01.001.0011-A";"COMPACTACAO: ENERGIA PROCTOR NORMAL";"UN";"293.64"
